"Manage Title Translations","Gestionați traducerile titlurilor","module","Plumrocket_RMA"
"Item Conditions","Condițiile articolului","module","Plumrocket_RMA"
"Add New Condition","Adãugați condiție nouã","module","Plumrocket_RMA"
"Save and Continue Edit","Salvați și continuați editarea","module","Plumrocket_RMA"
"Edit Condition","Editeazã starea","module","Plumrocket_RMA"
"New Condition","Stare Nouã","module","Plumrocket_RMA"
"Item Condition","Starea articolului","module","Plumrocket_RMA"
"Add New Item Condition","Adaugã starea articolului nou","module","Plumrocket_RMA"
"Title","Titlu","module","Plumrocket_RMA"
"Status","Stare","module","Plumrocket_RMA"
"Store View","Vizualizare magazin","module","Plumrocket_RMA"
"Position","Poziție","module","Plumrocket_RMA"
"Sort order in item condition list.","Sorteazã ordinea în lista de condiții ale articolului.","module","Plumrocket_RMA"
"Edit","Editați","module","Plumrocket_RMA"
"Return Reasons","Motive de întoarcere","module","Plumrocket_RMA"
"Add New Reason","Adãugați un nou motiv","module","Plumrocket_RMA"
"Edit Reason","Modificați motivul","module","Plumrocket_RMA"
"New Reason","Motiv Nou","module","Plumrocket_RMA"
"Return Reason","Motivul de întoarcere","module","Plumrocket_RMA"
"Add New Return Reason","Adãugați un nou motiv de returnare","module","Plumrocket_RMA"
"Who Pays For Shipping","Cine plãtește pentru transport","module","Plumrocket_RMA"
"This information will be displayed to the customer or admin while creating or viewing RMA.","Aceste informații vor fi afișate clientului sau administratorului în timpul creãrii sau vizualizãrii RMA.","module","Plumrocket_RMA"
"Sort order in resolution list.","Sorteazã ordinea în lista de rezolvare.","module","Plumrocket_RMA"
"Resolution","Rezoluție","module","Plumrocket_RMA"
"Add New Resolution","Adãugați o nouã rezoluție","module","Plumrocket_RMA"
"Edit Resolution","Editeazã rezoluția","module","Plumrocket_RMA"
"New Resolution","Rezoluție nouă","module","Plumrocket_RMA"
"Quick Response Templates","Șabloane de rãspuns rapid","module","Plumrocket_RMA"
"Add New Quick Response Template","Adãugați un nou model de rãspuns rapid","module","Plumrocket_RMA"
"Edit Quick Response Template","Editați șablonul de rãspuns rapid","module","Plumrocket_RMA"
"New Quick Response Template","Noul șablon de rãspuns rapid","module","Plumrocket_RMA"
"Quick Response Template","Șablon de rãspuns rapid","module","Plumrocket_RMA"
"Message","Mesaj","module","Plumrocket_RMA"
"Return Rule","Regula de retur","module","Plumrocket_RMA"
"Add New Return Rule","Adãugați o nouã regulã de retur","module","Plumrocket_RMA"
"Edit Return Rule","Editeazã regula de retur","module","Plumrocket_RMA"
"New Return Rule","Nouã regulã de retur","module","Plumrocket_RMA"
"Rule Name","Numele regulii","module","Plumrocket_RMA"
"Websites","Site-uri","module","Plumrocket_RMA"
"Customer Groups","Grupuri de clienyi","module","Plumrocket_RMA"
"Priority","Prioritate","module","Plumrocket_RMA"
"Period","Perioadã","module","Plumrocket_RMA"
"(days)","(zile)","module","Plumrocket_RMA"
"Enter ""0"" to disable this type of resolution.","Introduceți ""0"" pentru a dezactiva acest tip de rezoluție.","module","Plumrocket_RMA"
"Conditions (do not add conditions, if the rule is applied to all products)","Condiții (nu adãugați condiții, dacã regula se aplicã tuturor produselor)","module","Plumrocket_RMA"
"Conditions","Condiții","module","Plumrocket_RMA"
"Id","Id","module","Plumrocket_RMA"
"Action","Acțiune","module","Plumrocket_RMA"
"Enabled","Activat","module","Plumrocket_RMA"
"Disabled","Dezactivat","module","Plumrocket_RMA"
"Enable","Permite","module","Plumrocket_RMA"
"Disable","Dezactivați","module","Plumrocket_RMA"
"Delete","Șterge","module","Plumrocket_RMA"
"Returns","Retururi","module","Plumrocket_RMA"
"Save Return Address","Salvați adresa de retur","module","Plumrocket_RMA"
"Edit Return Address","Editeazã adresa de retur","module","Plumrocket_RMA"
"Return Address Information","Informații despre adresa de retur","module","Plumrocket_RMA"
"Submit Return","Trimite retur","module","Plumrocket_RMA"
"Print","Imprimare","module","Plumrocket_RMA"
"Open RMA","Deschideți RMA","module","Plumrocket_RMA"
"Are you sure you want to do this?","Ești sigur cã vrei sã faci asta?","module","Plumrocket_RMA"
"Cancel RMA","Anulați RMA","module","Plumrocket_RMA"
"This will create an offline refund. To create an online refund, open an invoiceand create credit memo for it.Do you want to continue?","Aceasta va crea o rambursare offline. Pentru a crea o rambursare online, deschideți o facturã și creați o notã de credit pentru ea. Doriți sã continuați?","module","Plumrocket_RMA"
"Credit Memo","Credit Memo","module","Plumrocket_RMA"
"New Return","Retur Nou","module","Plumrocket_RMA"
"Edit Return","Editeazã Retur","module","Plumrocket_RMA"
"RMA Manager","Manager RMA","module","Plumrocket_RMA"
"Please choose","Vã rugãm sã alegeți","module","Plumrocket_RMA"
"Comment (optional)","Comentariu (opțional)","module","Plumrocket_RMA"
"Internal Post","Post intern","module","Plumrocket_RMA"
"Notify Customer by Email","Notificați clientul prin e-mail","module","Plumrocket_RMA"
"Order Returns","Retururi ale comenzii","module","Plumrocket_RMA"
"Edit Address","Editeazã adresa","module","Plumrocket_RMA"
"My Returns","Retururile mele","module","Plumrocket_RMA"
"Home","Acasã","module","Plumrocket_RMA"
"Go to Home Page","Mergi la pagina principalã","module","Plumrocket_RMA"
"RMA","RMA","module","Plumrocket_RMA"
"You updated the return address.","Ați actualizat adresa de retur.","module","Plumrocket_RMA"
"We can't update the return address right now.","Nu putem actualiza adresa de retur acum.","module","Plumrocket_RMA"
"Return request has been canceled by store manager","Cererea de retur a fost anulatã de cãtre administratorul magazinului","module","Plumrocket_RMA"
"Default RMA Manager was removed from Magento store. Click <a href=""%1"">here</a> to set new manager for RMA extension.","Managerul RMA implicit a fost eliminat din magazinul Magento. Faceți clic pe <a href=""%1""> aici </a> pentru a seta un nou manager pentru extensia RMA.","module","Plumrocket_RMA"
"Manage ' .","Administrare ' .","module","Plumrocket_RMA"
"Status of return request has been updated to: %1","Starea cererii de retur a fost actualizatã la: %1","module","Plumrocket_RMA"
". ' has been saved.'",". 'a fost salvat.'","module","Plumrocket_RMA"
"Return request has been opened by store manager","Cererea de retur a fost deschisã de cãtre administratorul magazinului","module","Plumrocket_RMA"
"Return request has been canceled by customer","Solicitarea de retur a fost anulatã de cãtre client","module","Plumrocket_RMA"
"Return has been canceled","Returul a fost anulat","module","Plumrocket_RMA"
"Unknown Error","Eroare necunoscutã","module","Plumrocket_RMA"
"New Return for Order #%1","Retur nou pentru comanda nr.% 1","module","Plumrocket_RMA"
"Order id is missing","Codul comenzii lipsește","module","Plumrocket_RMA"
"To create a new return, please click on ""return"" link next to your order below","Pentru a crea o nouã returnare, faceți clic pe linkul ""returnare"" de lângã comanda dvs. de mai jos","module","Plumrocket_RMA"
"Return #%1","Retur #% 1","module","Plumrocket_RMA"
"Message has been sent","Mesajul a fost trimis","module","Plumrocket_RMA"
"Return Has Been Created Successfully","Returul a fost creat cu succes","module","Plumrocket_RMA"
